Match Number,Round Number,Date,Location,Home Team,Away Team,Result
21,3,18/09/2024 20:00,Johan Cruyff Arena,Ajax,Fortuna Sittard,5 - 0
35,4,30/08/2024 20:00,Mandemakers Stadion,RKC Waalwijk,AZ,0 - 3
29,4,31/08/2024 16:30,Yanmar Stadion,Almere City FC,FC Groningen,1 - 1
30,4,31/08/2024 18:45,Fortuna Sittard Stadion,Fortuna Sittard,N.E.C. Nijmegen,0 - 3
33,4,31/08/2024 20:00,Abe Lenstra Stadion,sc Heerenveen,NAC Breda,4 - 0
31,4,31/08/2024 21:00,Koning Willem II Stadion,Willem II,Sparta Rotterdam,1 - 2
32,4,01/09/2024 12:15,Stadion Galgenwaard,FC Utrecht,FC Twente,2 - 1
36,4,01/09/2024 14:30,MAC³PARK Stadion,PEC Zwolle,Heracles Almelo,3 - 0
34,4,01/09/2024 16:45,Philips Stadion,PSV,Go Ahead Eagles,3 - 0
28,4,30/10/2024 18:00,De Kuip,Feyenoord,Ajax,0 - 2
39,5,14/09/2024 16:30,De Grolsch Veste,FC Twente,PEC Zwolle,1 - 1
41,5,14/09/2024 16:30,Philips Stadion,PSV,N.E.C. Nijmegen,2 - 0
42,5,14/09/2024 18:45,Euroborg,FC Groningen,Feyenoord,2 - 2
38,5,14/09/2024 20:00,Rat Verlegh Stadion,NAC Breda,Fortuna Sittard,1 - 0
37,5,14/09/2024 21:00,AFAS Stadion,AZ,sc Heerenveen,9 - 1
44,5,15/09/2024 12:15,Het Kasteel,Sparta Rotterdam,Go Ahead Eagles,1 - 2
40,5,15/09/2024 14:30,Koning Willem II Stadion,Willem II,RKC Waalwijk,3 - 0
43,5,15/09/2024 16:45,Erve Asito,Heracles Almelo,Almere City FC,0 - 0
45,5,04/12/2024 20:00,Johan Cruyff Arena,Ajax,FC Utrecht,
51,6,20/09/2024 20:00,MAC³PARK Stadion,PEC Zwolle,AZ,1 - 2
50,6,21/09/2024 16:30,Stadion Galgenwaard,FC Utrecht,Willem II,3 - 2
52,6,21/09/2024 18:45,Mandemakers Stadion,RKC Waalwijk,Sparta Rotterdam,1 - 2
46,6,21/09/2024 20:00,De Adelaarshorst,Go Ahead Eagles,Ajax,1 - 1
48,6,21/09/2024 21:00,Goffertstadion,N.E.C. Nijmegen,Heracles Almelo,1 - 2
53,6,22/09/2024 12:15,Abe Lenstra Stadion,sc Heerenveen,FC Groningen,2 - 1
47,6,22/09/2024 14:30,De Kuip,Feyenoord,NAC Breda,2 - 0
54,6,22/09/2024 14:30,Yanmar Stadion,Almere City FC,FC Twente,0 - 5
49,6,22/09/2024 16:45,Fortuna Sittard Stadion,Fortuna Sittard,PSV,1 - 3
60,7,27/09/2024 20:00,Erve Asito,Heracles Almelo,sc Heerenveen,2 - 1
63,7,28/09/2024 16:30,Koning Willem II Stadion,Willem II,PSV,0 - 2
58,7,28/09/2024 18:45,Goffertstadion,N.E.C. Nijmegen,Feyenoord,1 - 1
55,7,28/09/2024 21:00,Het Kasteel,Sparta Rotterdam,Fortuna Sittard,1 - 1
62,7,29/09/2024 12:15,MAC³PARK Stadion,PEC Zwolle,Almere City FC,1 - 0
